REGION,COMUNA,TOTAL_PERSONAS,CENTRO_URBANO,SERVICIO_DE_SALUD,IDISCI
REGIÓN METROPOLITANA DE SANTIAGO,PUENTE ALTO,565439,GRAN SANTIAGO,Metropolitano Sur Oriente,MetropolitanoSurOriente
REGIÓN METROPOLITANA DE SANTIAGO,MAIPÚ,517393,GRAN SANTIAGO,Metropolitano Central,MetropolitanoCentral
REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,402847,GRAN SANTIAGO,Metropolitano Central,MetropolitanoCentral
REGIÓN METROPOLITANA DE SANTIAGO,LA FLORIDA,366376,GRAN SANTIAGO,Metropolitano Sur Oriente,MetropolitanoSurOriente
REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,347605,ANTOFAGASTA,Antofagasta,Antofagasta
REGIÓN DE VALPARAÍSO,VIÑA DEL MAR,332875,GRAN VALPARAISO,Vina del Mar Quillota,ViñaQuillota
REGIÓN METROPOLITANA DE SANTIAGO,SAN BERNARDO,295550,GRAN SANTIAGO,Metropolitano Sur,MetropolitanoSur
REGIÓN METROPOLITANA DE SANTIAGO,LAS CONDES,294480,GRAN SANTIAGO,Metropolitano Oriente,MetropolitanoOriente
REGIÓN DE VALPARAÍSO,VALPARAÍSO,294207,GRAN VALPARAISO,Valparaiso San Antonio,ValparaisoSanAntonio
REGIÓN DE LA ARAUCANÍA,TEMUCO,261114,GRAN TEMUCO,Araucania Sur,AraucaniaSur
REGIÓN METROPOLITANA DE SANTIAGO,PEÑALOLÉN,241394,GRAN SANTIAGO,Metropolitano Oriente,MetropolitanoOriente
REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,RANCAGUA,233663,GRAN RANCAGUA,Del Libertador BOHiggins,Ohiggins
REGIÓN METROPOLITANA DE SANTIAGO,PUDAHUEL,222754,GRAN SANTIAGO,Metropolitano Occidente,MetropolitanoOccidente
REGIÓN DE LOS LAGOS,PUERTO MONTT,218617,PUERTO MONTT-PUERTO VARAS,Del Reloncavi,Reloncavi
REGIÓN DEL BIOBÍO,CONCEPCIÓN,217535,GRAN CONCEPCION,Concepcion,Concepcion
REGIÓN DE COQUIMBO,COQUIMBO,212520,LA SERENA-COQUIMBO,Coquimbo,Coquimbo
REGIÓN DEL MAULE,TALCA,210033,TALCA,Del Maule,Maule
REGIÓN METROPOLITANA DE SANTIAGO,QUILICURA,209676,GRAN SANTIAGO,Metropolitano Norte,MetropolitanoNorte
REGIÓN METROPOLITANA DE SANTIAGO,ÑUÑOA,208048,GRAN SANTIAGO,Metropolitano Oriente,MetropolitanoOriente
REGIÓN DE ARICA Y PARINACOTA,ARICA,203132,ARICA,Arica,Arica
REGIÓN DE COQUIMBO,LA SERENA,199844,LA SERENA-COQUIMBO,Coquimbo,Coquimbo
REGIÓN DE TARAPACÁ,IQUIQUE,188003,IQUIQUE-ALTO HOSPICIO,Iquique,Iquique
REGIÓN METROPOLITANA DE SANTIAGO,LA PINTANA,176105,GRAN SANTIAGO,Metropolitano Sur Oriente,MetropolitanoSurOriente
REGIÓN DE ÑUBLE,CHILLÁN,168343,CHILLAN-CHILLAN VIEJO,Nuble,Ñuble
REGIÓN METROPOLITANA DE SANTIAGO,EL BOSQUE,162415,GRAN SANTIAGO,Metropolitano Sur,MetropolitanoSur
REGIÓN DE ANTOFAGASTA,CALAMA,157575,CALAMA,Antofagasta,Antofagasta
REGIÓN METROPOLITANA DE SANTIAGO,RECOLETA,157569,GRAN SANTIAGO,Metropolitano Norte,MetropolitanoNorte
REGIÓN DE LOS RÍOS,VALDIVIA,153993,VALDIVIA,Valdivia,Valdivia
REGIÓN DE ATACAMA,COPIAPÓ,150747,COPIAPO-TIERRA AMARILLA,Atacama,Atacama
REGIÓN DEL BIOBÍO,LOS ÁNGELES,150536,LOS ANGELES,Biobio,Biobio
REGIÓN DEL BIOBÍO,TALCAHUANO,149595,GRAN CONCEPCION,Talcahuano,Talcahuano
REGIÓN DE VALPARAÍSO,QUILPUÉ,147991,GRAN VALPARAISO,Vina del Mar Quillota,ViñaQuillota
REGIÓN DE LOS LAGOS,OSORNO,147666,OSORNO,Osorno,Osorno
REGIÓN METROPOLITANA DE SANTIAGO,RENCA,146987,GRAN SANTIAGO,Metropolitano Occidente,MetropolitanoOccidente
REGIÓN METROPOLITANA DE SANTIAGO,PROVIDENCIA,141986,GRAN SANTIAGO,Metropolitano Oriente,MetropolitanoOriente
REGIÓN METROPOLITANA DE SANTIAGO,ESTACIÓN CENTRAL,140746,GRAN SANTIAGO,Metropolitano Central,MetropolitanoCentral
REGIÓN METROPOLITANA DE SANTIAGO,CERRO NAVIA,132401,GRAN SANTIAGO,Metropolitano Occidente,MetropolitanoOccidente
REGIÓN DEL MAULE,CURICÓ,131752,CURICO,Del Maule,Maule
REGIÓN DEL BIOBÍO,SAN PEDRO DE LA PAZ,131521,GRAN CONCEPCION,Concepcion,Concepcion
REGIÓN METROPOLITANA DE SANTIAGO,CONCHALÍ,126800,GRAN SANTIAGO,Metropolitano Norte,MetropolitanoNorte
REGIÓN DE VALPARAÍSO,VILLA ALEMANA,125140,GRAN VALPARAISO,Vina del Mar Quillota,ViñaQuillota
REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,PUNTA ARENAS,123403,PUNTA ARENAS,Magallanes,Magallanes
REGIÓN METROPOLITANA DE SANTIAGO,COLINA,117839,GRAN SANTIAGO,Metropolitano Norte,MetropolitanoNorte
REGIÓN METROPOLITANA DE SANTIAGO,LA GRANJA,116312,GRAN SANTIAGO,Metropolitano Sur Oriente,MetropolitanoSurOriente
REGIÓN METROPOLITANA DE SANTIAGO,MACUL,116249,GRAN SANTIAGO,Metropolitano Oriente,MetropolitanoOriente
REGIÓN DEL BIOBÍO,CORONEL,110341,GRAN CONCEPCION,Concepcion,Concepcion
REGIÓN METROPOLITANA DE SANTIAGO,QUINTA NORMAL,109784,GRAN SANTIAGO,Metropolitano Occidente,MetropolitanoOccidente
REGIÓN METROPOLITANA DE SANTIAGO,SAN MIGUEL,107828,GRAN SANTIAGO,Metropolitano Sur,MetropolitanoSur
REGIÓN DE TARAPACÁ,ALTO HOSPICIO,103807,IQUIQUE-ALTO HOSPICIO,Iquique,Iquique
REGIÓN METROPOLITANA DE SANTIAGO,LO BARNECHEA,103092,GRAN SANTIAGO,Metropolitano Oriente,MetropolitanoOriente
REGIÓN METROPOLITANA DE SANTIAGO,PEDRO AGUIRRE CERDA,101035,GRAN SANTIAGO,Metropolitano Sur,MetropolitanoSur
REGIÓN METROPOLITANA DE SANTIAGO,INDEPENDENCIA,100059,GRAN SANTIAGO,Metropolitano Norte,MetropolitanoNorte
REGIÓN METROPOLITANA DE SANTIAGO,LO ESPEJO,98651,GRAN SANTIAGO,Metropolitano Sur,MetropolitanoSur
REGIÓN METROPOLITANA DE SANTIAGO,HUECHURABA,98500,GRAN SANTIAGO,Metropolitano Norte,MetropolitanoNorte
REGIÓN METROPOLITANA DE SANTIAGO,LO PRADO,95901,GRAN SANTIAGO,Metropolitano Occidente,MetropolitanoOccidente
REGIÓN METROPOLITANA DE SANTIAGO,SAN JOAQUÍN,94325,GRAN SANTIAGO,Metropolitano Sur,MetropolitanoSur
REGIÓN METROPOLITANA DE SANTIAGO,LA REINA,92678,GRAN SANTIAGO,Metropolitano Oriente,MetropolitanoOriente
REGIÓN DEL BIOBÍO,HUALPÉN,90704,GRAN CONCEPCION,Talcahuano,Talcahuano
REGIÓN METROPOLITANA DE SANTIAGO,LA CISTERNA,89889,GRAN SANTIAGO,Metropolitano Sur,MetropolitanoSur
REGIÓN DE VALPARAÍSO,SAN ANTONIO,86239,GRAN SAN ANTONIO,Valparaiso San Antonio,ValparaisoSanAntonio
REGIÓN DE COQUIMBO,OVALLE,86098,OVALLE,Coquimbo,Coquimbo
REGIÓN DEL BIOBÍO,CHIGUAYANTE,85633,GRAN CONCEPCION,Concepcion,Concepcion
REGIÓN METROPOLITANA DE SANTIAGO,VITACURA,85300,GRAN SANTIAGO,Metropolitano Oriente,MetropolitanoOriente
REGIÓN METROPOLITANA DE SANTIAGO,MELIPILLA,84286,MELIPILLA,Metropolitano Occidente,MetropolitanoOccidente
REGIÓN METROPOLITANA DE SANTIAGO,PEÑAFLOR,82959,GRAN SANTIAGO,Metropolitano Occidente,MetropolitanoOccidente
REGIÓN METROPOLITANA DE SANTIAGO,SAN RAMÓN,82602,GRAN SANTIAGO,Metropolitano Sur Oriente,MetropolitanoSurOriente
REGIÓN METROPOLITANA DE SANTIAGO,BUIN,82267,BUIN,Metropolitano Sur,MetropolitanoSur
REGIÓN METROPOLITANA DE SANTIAGO,CERRILLOS,80710,GRAN SANTIAGO,Metropolitano Central,MetropolitanoCentral
REGIÓN METROPOLITANA DE SANTIAGO,LAMPA,80683,GRAN SANTIAGO,Metropolitano Norte,MetropolitanoNorte
REGIÓN DE VALPARAÍSO,QUILLOTA,77354,QUILLOTA-LA CALERA,Vina del Mar Quillota,ViñaQuillota
REGIÓN DEL MAULE,LINARES,77106,LINARES,Del Maule,Maule
REGIÓN DE VALPARAÍSO,SAN FELIPE,69253,SAN FELIPE,Aconcagua,Aconcagua
REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,SAN FERNANDO,63481,SAN FERNANDO,Del Libertador BOHiggins,Ohiggins
REGIÓN DE VALPARAÍSO,LOS ANDES,60064,LOS ANDES-CALLE LARGA-SAN ESTEBAN,Aconcagua,Aconcagua
REGIÓN METROPOLITANA DE SANTIAGO,TALAGANTE,58950,TALAGANTE,Metropolitano Occidente,MetropolitanoOccidente
REGIÓN METROPOLITANA DE SANTIAGO,PADRE HURTADO,54922,GRAN SANTIAGO,Metropolitano Occidente,MetropolitanoOccidente
REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,MACHALÍ,51199,GRAN RANCAGUA,Del Libertador BOHiggins,Ohiggins
REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,COYHAIQUE,49667,COYHAIQUE,Aisen,Aisen
REGIÓN DEL BIOBÍO,TOMÉ,49205,GRAN CONCEPCION,Talcahuano,Talcahuano
REGIÓN DE VALPARAÍSO,CALERA,48563,QUILLOTA-LA CALERA,Vina del Mar Quillota,ViñaQuillota
REGIÓN DEL BIOBÍO,PENCO,46382,GRAN CONCEPCION,Talcahuano,Talcahuano
REGIÓN DE LA ARAUCANÍA,PADRE LAS CASAS,45327,GRAN TEMUCO,Araucania Sur,AraucaniaSur
REGIÓN DEL BIOBÍO,LOTA,43272,GRAN CONCEPCION,Concepcion,Concepcion
REGIÓN DE VALPARAÍSO,CONCÓN,39345,GRAN VALPARAISO,Vina del Mar Quillota,ViñaQuillota
REGIÓN DE VALPARAÍSO,LIMACHE,38996,LIMACHE-OLMUE,Vina del Mar Quillota,ViñaQuillota
REGIÓN DEL MAULE,MAULE,38769,TALCA,Del Maule,Maule
REGIÓN DE LOS LAGOS,PUERTO VARAS,32117,PUERTO MONTT-PUERTO VARAS,Del Reloncavi,Reloncavi
REGIÓN DE ÑUBLE,CHILLÁN VIEJO,27359,CHILLAN-CHILLAN VIEJO,Nuble,Ñuble
REGIÓN DEL MAULE,SAN CLEMENTE,21649,TALCA,Del Maule,Maule
REGIÓN DEL BIOBÍO,HUALQUI,20843,GRAN CONCEPCION,Concepcion,Concepcion
REGIÓN DE VALPARAÍSO,CARTAGENA,20792,GRAN SAN ANTONIO,Valparaiso San Antonio,ValparaisoSanAntonio
REGIÓN DE VALPARAÍSO,LA CRUZ,19408,QUILLOTA-LA CALERA,Vina del Mar Quillota,ViñaQuillota
REGIÓN DE LOS LAGOS,LLANQUIHUE,14104,PUERTO MONTT-PUERTO VARAS,Del Reloncavi,Reloncavi
REGIÓN DE VALPARAÍSO,EL TABO,12472,GRAN SAN ANTONIO,Valparaiso San Antonio,ValparaisoSanAntonio
REGIÓN DE VALPARAÍSO,OLMUÉ,11996,LIMACHE-OLMUE,Vina del Mar Quillota,ViñaQuillota
REGIÓN METROPOLITANA DE SANTIAGO,PIRQUE,11514,GRAN SANTIAGO,Metropolitano Sur Oriente,MetropolitanoSurOriente
REGIÓN DE VALPARAÍSO,SAN ESTEBAN,11350,LOS ANDES-CALLE LARGA-SAN ESTEBAN,Aconcagua,Aconcagua
REGIÓN METROPOLITANA DE SANTIAGO,SAN JOSÉ DE MAIPO,11115,GRAN SANTIAGO,Metropolitano Sur Oriente,MetropolitanoSurOriente
REGIÓN DE VALPARAÍSO,CALLE LARGA,10675,LOS ANDES-CALLE LARGA-SAN ESTEBAN,Aconcagua,Aconcagua
REGIÓN DE ATACAMA,TIERRA AMARILLA,9792,COPIAPO-TIERRA AMARILLA,Atacama,Atacama
REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,OLIVAR,9278,GRAN RANCAGUA,Del Libertador BOHiggins,Ohiggins
REGIÓN DE VALPARAÍSO,SANTO DOMINGO,6147,GRAN SAN ANTONIO,Valparaiso San Antonio,ValparaisoSanAntonio
REGIÓN DEL MAULE,SAN RAFAEL,4960,TALCA,Del Maule,Maule
REGIÓN DEL MAULE,PENCAHUE,3433,TALCA,Del Maule,Maule
REGIÓN DEL MAULE,PELARCO,2582,TALCA,Del Maule,Maule
REGIÓN DE LOS LAGOS,ANCUD,28123,ANCUD,Chiloe,Chiloe
REGIÓN DE LOS LAGOS,CASTRO,33417,CASTRO,Chiloe,Chiloe
REGIÓN DE LA ARAUCANÍA,VICTORIA,24773,VICTORIA,Araucania Norte,AraucaniaNorte
REGIÓN DE LA ARAUCANÍA,ANGOL,48608,ANGOL,Araucania Norte,AraucaniaNorte
REGIÓN DEL BIOBÍO,ARAUCO,27274,ARAUCO,Arauco,Arauco
REGIÓN DEL BIOBÍO,CURANILAHUE,30116,CURANILAHUE,Arauco,Arauco
